numeral;form;year;century;homogenious_parts;pair_numerals;definiteness;adjectives
tri;anim;1973;XX;no;no;high;no
tri;anim;1969;XX;no;no;high;no
tri;anim;1969;XX;no;no;high;no
tri;anim;1969;XX;yes_anim;no;medium;no
tri;anim;1969;XX;yes_anim;no;medium;no
tri;anim;1968;XX;no;no;medium;no
tri;anim;1966;XX;no;no;high;no
tri;anim;1965;XX;no;no;high;no
tri;anim;1962;XX;no;no;medium;no
tri;anim;1961;XX;yes_anim;no;high;no
tri;anim;1958;XX;no;no;high;no
tri;anim;1958;XX;no;no;high;no
tri;anim;1958;XX;yes_anim;no;high;no
tri;anim;1956;XX;no;no;high;no
tri;anim;1954;XX;no;yes;low;no
tri;anim;1954;XX;yes_anim;no;high;no
tri;anim;1951;XX;yes_anim;no;high;no
tri;anim;1951;XX;no;no;high;yes
tri;anim;1951;XX;no;no;high;no
tri;anim;1951;XX;yes_inanim;no;medium;no
tri;anim;1951;XX;no;no;medium;no
tri;anim;1950;XX;no;no;high;no
tri;anim;1949;XX;no;no;high;no
tri;anim;1948;XX;no;no;high;no
tri;anim;1948;XX;yes_anim;no;high;no
tri;anim;1948;XX;yes_anim;no;high;no
tri;anim;1948;XX;no;no;high;no
tri;anim;1948;XX;no;no;high;no
tri;anim;1948;XX;no;no;medium;no
tri;anim;1947;XX;no;no;high;yes
tri;anim;1947;XX;no;no;high;no
tri;anim;1946;XX;no;no;high;no
tri;anim;1944;XX;no;no;high;no
tri;anim;1943;XX;yes_anim;no;high;no
tri;anim;1943;XX;no;no;high;no
tri;anim;1940;XX;no;no;high;no
tri;anim;1939;XX;no;no;high;no
tri;anim;1932;XX;no;no;high;no
tri;anim;1929;XX;no;no;high;no
tri;anim;1928;XX;no;no;high;yes
tri;anim;1927;XX;no;no;high;no
tri;anim;1926;XX;no;no;high;no
tri;anim;1926;XX;no;no;high;no
tri;anim;1926;XX;no;no;high;no
tri;anim;1925;XX;no;no;high;no
tri;anim;1925;XX;no;no;high;no
tri;anim;1924;XX;yes_anim;no;high;no
tri;anim;1924;XX;yes_anim;no;high;no
tri;anim;1923;XX;no;no;high;yes
tri;anim;1937;XX;no;no;high;no
tri;anim;1923;XX;no;no;high;no
tri;anim;1923;XX;no;no;high;no
tri;anim;1923;XX;yes_inanim;no;high;no
tri;anim;1923;XX;no;no;high;no
tri;anim;1923;XX;no;no;high;no
tri;anim;1918;XX;no;no;high;no
tri;anim;1918;XX;yes_inanim;no;high;no
tri;anim;1917;XX;yes_anim;no;high;no
tri;anim;1916;XX;no;no;medium;no
tri;anim;1916;XX;no;no;high;no
tri;anim;1912;XX;yes_anim;no;high;no
tri;anim;1911;XX;no;no;high;no
tri;anim;1907;XX;no;no;high;no
tri;anim;1903;XX;no;no;high;no
tri;anim;1903;XX;no;no;high;no
tri;anim;1903;XX;no;no;high;no
tri;anim;1903;XX;no;no;high;no
tri;anim;1901;XX;no;no;high;yes
tri;anim;1899;XIX;no;no;high;no
tri;anim;1897;XIX;no;no;high;no
tri;anim;1896;XIX;no;no;high;no
tri;anim;1896;XIX;no;no;high;no
tri;anim;1891;XIX;no;no;high;no
tri;anim;1891;XIX;no;no;high;no
tri;anim;1889;XIX;yes_anim;no;high;no
